gp_en,gp_kn,village_en,village_kn,correct_yn,notes
Makanadaku,ಮಕನಡಕು,Chikkajogi Tanda,ಚಿಕ್ಕಜೋಗಿ ತಾಂಡಾ,,
Makanadaku,ಮಕನಡಕು,Chikkajogihalli,ಚಿಕ್ಕಜೋಗಿಹಳ್ಳಿ,,
Marabha,ಮರಭಾ,Gundinahole,ಗುಂಡಿನಹೊಳೆ,,
Marabha,ಮರಭಾ,Marabha,ಮರಭಾ,,
Pujarahalli,ಪೂಜಾರಹಳ್ಳಿ,Pujarahalli,ಪೂಜಾರಹಳ್ಳಿ,,
Pujarahalli,ಪೂಜಾರಹಳ್ಳಿ,Arjunachinnena Halli,ಅರ್ಜುನಚಿನ್ನೇನ ಹಳ್ಳಿ,,
Pujarahalli,ಪೂಜಾರಹಳ್ಳಿ,Gajapura,ಗಜಪುರ,,
Pujarahalli,ಪೂಜಾರಹಳ್ಳಿ,Aigala Mallapur,ಐಗಲ ಮಲ್ಲಾಪುರ,,
Ramadurga,ರಾಮದುರ್ಗ,Chandrasekarapura,ಚಂದ್ರಶೇಖರಪುರ,,
Ramadurga,ರಾಮದುರ್ಗ,Ramadurga,ರಾಮದುರ್ಗ,,
Ramadurga,ರಾಮದುರ್ಗ,B.T. Gollarahatti,ಬಿ.ಟಿ. ಗೊಲ್ಲರಹಟ್ಟಿ,,
Shivapura,ಶಿವಪುರ,Bande Basapura Tanda,ಬಂಡೆ ಬಸಪುರ ತಾಂಡಾ,,
Shivapura,ಶಿವಪುರ,Shivapura,ಶಿವಪುರ,,
Suladahalli,ಸುಲದಹಳ್ಳಿ,C. Imadapura,ಸಿ. ಇಮಡಾಪುರ,,
Suladahalli,ಸುಲದಹಳ್ಳಿ,Halayyanakote,ಹಲಯ್ಯನಕೋಟೆ,,
Suladahalli,ಸುಲದಹಳ್ಳಿ,Suladahalli,ಸುಲದಹಳ್ಳಿ,,
Huralihal,ಹುರಳಿಹಾಳ್,Huralihal,ಹುರಳಿಹಾಳ್,,
Huralihal,ಹುರಳಿಹಾಳ್,A. Dhibbadhahalli,ಎ. ಧಿಬ್ಬದಹಳ್ಳಿ,,
